track_name,acousticness,danceability,energy,instrumentalness,loudness,tempo,valence,happiness,sadness,love,calm,energetic
I Ain't Worried,0.08296761089,0.7113543092,0.7959245222,0.0008028017241,0.8414876477,0.5345123415,0.84579139,1,0,0,0,1
Overwhelming,0.2532276796,0.7715458276,0.6199973862,0,0.8793233083,0.2521125523,0.6765902763,1,0,1,0,0
Satellite,0.1436742706,0.53625171,0.4541232294,3.29E-05,0.8268259936,0.5285977806,0.2846433926,0,0,1,0,0
The Spins,0.01351678001,0.8344733242,0.7647602867,0,0.8960794844,0.4584546014,0.5512957807,1,0,0,0,0
Waste of Time,0.6060097583,0.8891928865,0.5325364672,0,0.7661385607,0.493461775,0.5459413151,1,0,0,0,1
Everything But You (feat. A7S),0.03110563009,0.6771545828,0.7627496909,9.75E-06,0.8582975295,0.4465727755,0.4666952238,0,0,0,0,1
We Will Meet Again,0.3688115516,0.2968536252,0.7848662451,0.007004310345,0.8273093448,0.5045061927,0.245020347,0,0,0,0,1
Another Day in Paradise,0.1617656592,0.6415868673,0.8009510118,0,0.8581095596,0.6982344157,0.5620047119,1,0,1,0,0
As It Was,0.3436846229,0.4596443228,0.7295748595,0.001088362069,0.8573039742,0.7332415893,0.6712358107,1,0,0,0,1
Something About Your Love,0.0134162723,0.5512995896,0.8250781619,0.0001411637931,0.8468313641,0.4292565807,0.2557292782,0,0,1,0,1
Meet Me At Our Spot - Live,0.1597555049,0.6976744186,0.472218592,4.20E-06,0.8117346939,0.2709513074,0.3810237738,0,0,1,0,0
Skyline,0.01793911946,0.7510259918,0.6511616217,0.02349137931,0.8370032223,0.4174040348,0.7676161919,1,0,1,0,0
hello!,0.3316236971,0.5389876881,0.4269801856,0,0.8359291085,0.1772787164,0.270721782,0,1,0,0,0
Too Late (with AJR),0.0202507969,0.7496580027,0.6210026841,0,0.8151181525,0.2359265657,0.6541015207,0,1,1,0,0
Confetti,0.5416848209,0.8399452804,0.4933298483,1.30E-06,0.844226638,0.3650455304,0.4420646819,0,1,0,1,0
Pursuit Of Happiness (Nightmare),0.4864055778,0.610123119,0.6029073216,0.0001001077586,0.7602846402,0.3897695664,0.2471621332,1,0,0,0,0
Leave Before You Love Me (with Jonas Brothers),0.00221971288,0.7346101231,0.7366119449,4.75E-06,0.872556391,0.4172869148,0.6444634825,0,0,1,0,1
Sunroof,0.3537353943,0.7989056088,0.7124847949,0,0.8634264232,0.4844376775,0.8639965731,1,0,0,0,1
Better Not (with Wafia),0.2793596855,0.8194254446,0.534547063,0,0.922207304,0.3822211812,0.3831655601,0,0,0,0,1
Night Feels,0.07171074684,0.756497948,0.6803152614,0.009870689655,0.8878625134,0.4527274324,0.3831655601,1,0,0,0,1
West Coast (feat. Quinn XCII),0.002440829852,0.7250341997,0.7969298202,0.0007306034483,0.8868152524,0.4116710099,0.6680231313,1,0,0,0,1
Stay Next To Me (with Chelsea Cutler),0.08085694888,0.5430916553,0.5817960653,0,0.8683136412,0.768518139,0.7718997644,1,0,1,0,0
Geronimo,0.4582634177,0.7127222982,0.7788344576,0.001637931034,0.8323576799,0.5464234474,0.4517027201,0,0,0,0,1
Anyone,0.1858875108,0.6853625171,0.5184622963,3.87E-06,0.7781686359,0.3933300149,0.5812807882,0,0,1,0,0
Icee Pop,0.1205574962,0.9986320109,0.5697324902,0,0.823254565,0.5052030568,0.8875562219,1,0,1,0,0
Change My Mind,0.3959486345,0.7058823529,0.6380927488,0,0.8521482277,0.756220537,0.7569072607,1,0,0,0,0
moon and back,0.5738472896,0.560875513,0.4913192525,2.67E-05,0.8861976369,0.7695605071,0.4827586207,0,0,1,0,0
The Lows,0.1155321105,0.6046511628,0.6240185779,0,0.809962406,0.2082159693,0.8211608481,1,0,0,0,0
Paradise,0.05110666532,0.3625170999,0.5828013632,9.43E-05,0.8190923738,0.5323866132,0.1893339045,0,0,1,0,0
Antibodies - LP Giobbi Remix,0.1758367393,0.5827633379,0.7637549888,1.13E-06,0.8686895811,0.4468714315,0.2225315913,0,0,1,0,1
Your Light,0.02055232004,0.5937072503,0.9557668915,0.3556034483,0.9184210526,0.3004245601,0.7890340544,1,0,0,0,1
Upside Down,0.2562429111,0.8317373461,0.6451298342,0.0002403017241,0.7773899033,0.3148127544,0.7055043907,1,0,0,0,0
Come Hang Out,0.003807734772,0.585499316,0.723543072,0,0.8752953813,0.2479489357,0.3756693082,0,0,0,0,1
Magic In The Hamptons (feat. Lil Yachty),0.6632991557,0.8002735978,0.4762397837,0,0.8572771214,0.2771820923,0.8222317413,1,0,1,0,0
Unbreakable,0.003375551599,0.3748290014,0.8482000141,1.29E-06,0.8866809882,0.2412555266,0.3788819876,0,0,0,0,1
Who Do You Love,0.03371883067,0.6785225718,0.4078795251,0,0.7385338346,0.8456826633,0.1347183551,0,0,1,0,1
Bad Habit,0.6291265327,0.6867305062,0.5043881254,8.09E-05,0.8100698174,0.7041079847,0.7012208182,0,1,1,0,0
Wherever I Go,0.1004559532,0.487004104,0.673278176,0,0.8274704619,0.30013176,0.3349753695,0,0,0,0,1
Another Life (feat. FLETCHER & Josh Golden),0.01984876604,0.634746922,0.7225377741,0,0.8613050483,0.4467894475,0.3713857357,0,0,1,0,1
Straight Up Relaxin' (feat. Cosmo's Midnight),0.07583156314,0.6757865937,0.6722728781,2.76E-06,0.8066595059,0.3586566334,0.7204968944,1,0,0,1,0
Bedroom Eyes (feat. Studio Killers),0.003466008542,0.6388508892,0.7848662451,7.53E-05,0.9006176155,0.3531227125,0.4056543157,0,0,1,0,1
Burn The House Down,0.03653304669,0.3693570451,0.6581987072,0,0.8836466165,0.7942786871,0.5705718569,1,0,0,0,1
I Wanna Help Your Mind,0.200963668,0.7701778386,0.723543072,0.2122844828,0.7719387755,0.4170878107,0.8179481688,1,0,0,0,1
ME WITHOUT U,0.01763759632,0.7236662107,0.9055019955,6.80E-05,0.9389097744,0.4410447106,0.7472692225,1,0,0,0,1
CLASH - Edit,0.002390575995,0.4774281806,0.7144953907,0.244612069,0.739688507,0.4177671068,0.3692439495,0,0,0,0,1
Better Than This,0.01773810403,0.6689466484,0.8381470349,0.4482758621,0.8183941998,0.4468831435,0.219318912,0,0,0,0,1
Dandelion,0.01572794974,0.5813953488,0.6903682406,0,0.9212137487,0.3996193599,0.4484900407,0,0,0,0,1
Views,0.0659818071,0.2886456908,0.8512159078,0,0.8423200859,0.162269786,0.08224459199,0,0,0,1,0
Keep On Rising,0.01110459486,0.5937072503,0.7587284992,1.37E-05,0.8001611171,0.4174040348,0.5737845363,1,0,0,0,1
3 Nights,0.2240804424,0.8632010944,0.5154464025,0,0.8235767991,0.6041811847,0.9014778325,1,0,1,0,0
Everybody Dies In Their Nightmares,0.8512485822,0.7523939808,0.5677218944,2.31E-05,0.8109022556,0.4757122361,0.700149925,0,1,0,0,0
golden hour,0.6562636157,0.4528043776,0.5908437465,0.1745689655,0.8717239527,0.2679061869,0.1261512101,0,1,1,0,0
ALWAYS DO,0.04437264843,0.7906976744,0.4229589939,0,0.8162996778,0.6975024156,0.5855643607,0,1,1,0,0
Out Of Reach,0.002792606854,0.6607387141,0.698410624,4.01E-05,0.8024973147,0.5820864931,0.5545084601,1,0,1,0,0
Good News,0.8572790451,0.8344733242,0.3163974144,0.1443965517,0.6537056928,0.7341668375,0.2203898051,0,0,0,1,0
comethru,0.6100300669,0.8358413133,0.1736451097,0,0.6786519871,0.2650660264,0.6134075819,0,0,1,0,0
Love Is a Drug,0.7889337991,0.8878248974,0.2892543705,0,0.5377013963,0.3592188095,0.4120796744,0,1,0,0,0
"fuck, i'm lonely",0.4542431091,0.8549931601,0.5446000422,0,0.8044844253,0.2709805874,0.7312058257,0,1,1,0,0
i walk this earth all by myself,0.5095223522,0.5622435021,0.5858172569,0.8415948276,0.696858217,0.6871607179,0.5170272007,0,1,0,1,0
Nothing's the Same,0.494446195,0.755129959,0.3043338393,0.002672413793,0.6906820623,0.4921910228,0.4324266438,0,1,0,0,0
Will It Ever Feel The Same?,0.5889234468,0.6224350205,0.5415841485,0,0.8354457573,0.4754487161,0.4795459413,0,1,1,0,0
Revenge,0.7859185676,0.7688098495,0.2470318579,0.0021875,0.5664607948,0.5345416215,0.1550653245,0,1,0,0,0
I Can't Go Back To The Way It Was (Intro),0.8723552023,0.3488372093,0.4269801856,0.0015625,0.7580827068,0.5739583638,0.1229385307,0,1,0,1,0
ceilings,0.4753497292,0.4541723666,0.3184080102,0.002090517241,0.6848012889,0.581424765,0.2418076676,0,0,1,0,0
Pluto Projector,0.7105377816,0.2667578659,0.2148623244,0.000744612069,0.7,0.1819342371,0.1636324695,0,1,1,0,0
"always, i'll care",0.9015024396,0.7496580027,0.2168729203,2.82E-05,0.6616809882,0.3305536849,0.6872992075,0,1,1,0,0
Closer 2,0.2200601338,0.1108071135,0.5687271923,0.0003997844828,0.7978786251,0.7378736861,0.1197258514,0,1,0,0,0
Changes,0.8874313595,0.6634746922,0.3043338393,0,0.7302900107,0.09496091119,0.5191689869,0,1,1,0,0
love sux,0.1698062764,0.1874145007,0.7034371136,0,0.8553705693,0.07786138846,0.2857142857,0,1,1,0,0
In My Room,0.596964064,0.926128591,0.6451298342,0.7122844828,0.8012620838,0.6401721664,0.6798029557,0,1,0,0,0
I Fall Apart,0.06919805397,0.5088919289,0.5355523609,0,0.855424275,0.5576786812,0.2739344613,0,1,1,0,0
Dead Inside (Interlude),0.9778883028,0.3789329685,0.02274989193,0.002435344828,0.4100966702,0.2323075572,0.3414007282,0,1,0,0,0
HAPPY,0.3075018456,0.7496580027,0.8542318016,0,0.8915145005,0.3354668697,0.1989719426,0,1,0,0,1
Talk It Out,0.467309112,0.6320109439,0.4883033587,0.1939655172,0.6487110634,0.5640207302,0.6905118869,0,1,0,1,0
DANCING ALL ALONE,0.06960008483,0.3009575923,0.5737536819,4.09E-06,0.8448174006,0.5692969871,0.4859713001,0,1,1,0,0
The Bottom,0.3366490828,0.7660738714,0.6722728781,2.48E-06,0.8581632653,0.5229057477,0.7419147569,0,1,0,0,0
OK,0.09623462923,0.4924760602,0.5707377881,0,0.8477443609,0.4348607736,0.2118226601,0,1,1,0,0
Love Hurts,0.3215729256,0.7222982216,0.4008424397,0,0.7967239527,0.5344947735,0.5491539944,0,1,0,0,0
erase me,0.0632680988,0.6880984952,0.6290450675,0,0.8499462943,0.8043392967,0.8757763975,0,1,0,0,0
My Mind & Me,0.5688219038,0.5690834473,0.3857629709,0,0.846858217,0.5554943929,0.2236024845,0,1,0,0,0
Say Less,0.5849031382,0.6005471956,0.3857629709,2.03E-06,0.7504564984,0.4649781864,0.1572071107,0,1,0,0,0
Silver Soul,0.4693192663,0.2352941176,0.6682516864,0.0001142241379,0.844226638,0.5054548649,0.08759905761,0,1,0,0,0
Save Me,0.6562636157,0.6744186047,0.4008424397,0,0.7441460795,0.2012648962,0.3424716213,0,1,0,0,0
ghost town,0.09734021409,0.5321477428,0.5425894464,0,0.8866004296,0.2029689925,0.2803598201,0,1,0,0,0
snowfall,0.9336649083,0.3857729138,0.08698842902,0.8653017241,0.2806390977,0.2711094194,0.05236667381,0,0,0,1,0
In My Head,0.2703139911,0.6142270862,0.5456053401,0,0.8493555317,0.6517319123,0.3371171557,0,1,0,0,0
Hate Me!,0.08789248891,0.6238030096,0.7878821389,0,0.8693071966,0.1540128246,0.7783251232,0,1,0,0,0
wallflower (feat. Ouse & Snøw),0.1306082677,0.6388508892,0.8301046515,0,0.8592105263,0.5339443094,0.296423217,0,1,0,0,0
Goodbye,0.4482126462,0.512995896,0.4702079961,0.001519396552,0.7935553169,0.4246127719,0.3874491326,0,1,0,0,0
hate to be lame,0.8753704337,0.462380301,0.2470318579,0.0002780172414,0.6616004296,0.5191227711,0.2867851788,0,1,0,0,0
idtwcbf (friends),0.440172029,0.659370725,0.5717430861,0,0.7933673469,0.2475097356,0.6755193832,0,1,1,0,0
Can You Afford To Lose Me?,0.836172425,0.2872777018,0.333487479,1.06E-05,0.715037594,0.4723626036,0.2568001713,0,1,0,0,0
I’m Tired (with Zendaya) - Bonus Track,0.6542534614,0.2612859097,0.1284067033,0,0.7153598281,0.4860656458,0.167916042,0,1,0,0,0
Orlando,0.863309508,0.5280437756,0.02274989193,0.09612068966,0.4023093448,0.2118935379,0.262154637,0,1,0,0,0
i think you loved me,0.1376438077,0.243502052,0.2450212621,1.87E-06,0.5939312567,0.2613006178,0.1486399657,0,1,1,0,0
hypochondriac,0.9427106026,0.3953488372,0.03682406281,0,0.5308539205,0.4932333909,0.614478475,0,1,1,0,0
Face 2 Face,0.09522955208,0.7209302326,0.7185165824,0,0.8789473684,0.6282259245,0.4302848576,0,1,0,0,0
she's all i wanna be,0.01291373373,0.5718194254,0.6240185779,9.72E-06,0.8577067669,0.6523585044,0.6251874063,0,1,0,0,1
Comfort Chain,0.9849238428,0.8837209302,0.2470318579,0.9622844828,0.4696562836,0.3588615934,0.1379310345,0,0,0,1,0
Riptide,0.433136489,0.4103967168,0.7295748595,0,0.8208915145,0.3099932656,0.5084600557,0,0,1,0,0
Stolen Dance,0.4140400232,0.950752394,0.5626954048,0.0002575431034,0.7640977444,0.3823441572,0.6958663525,0,0,1,0,0
"Hey, Soul Sister",0.1858875108,0.6689466484,0.8853960371,0,0.8814178303,0.2828097092,0.8136645963,1,0,1,0,0
Flowers,0.06346911423,0.7154582763,0.6793099635,5.55E-06,0.8845059076,0.4057096009,0.6541015207,0,0,1,0,0
I Ain't Worried,0.08296761089,0.7113543092,0.7959245222,0.0008028017241,0.8414876477,0.5345123415,0.84579139,1,0,0,0,1
Breakeven,0.1446793477,0.610123119,0.6943894323,0,0.8797798067,0.2653705385,0.4881130863,0,1,1,0,0
Creepin' (with The Weeknd & 21 Savage),0.4190654089,0.7264021888,0.6179867904,0,0.8393931257,0.2883026381,0.1464981795,0,1,0,0,0
Heat Waves,0.4421821833,0.7893296854,0.522483488,7.22E-06,0.8153598281,0.1882821421,0.5309488113,1,0,1,0,0
Shape of You,0.5838980611,0.876880985,0.6501563238,0,0.9151718582,0.2767487483,0.9593060613,0,0,1,0,0
Fireflies,0.02758786008,0.4487004104,0.660209303,0,0.8181256713,0.7694550991,0.4677661169,0,0,1,0,0
Kill Bill,0.0523127579,0.6292749658,0.7335960512,0.1551724138,0.84632116,0.2357743097,0.4099378882,0,1,0,0,0
Chemical,0.001315143447,0.4295485636,0.8964543142,0,0.868877551,0.7096536175,0.3617476976,0,0,1,0,1
Wish You The Best,0.5577660552,0.6730506156,0.4581444211,0,0.9042427497,0.3468626475,0.4613407582,0,1,1,0,0
Cupid - Twin Ver.,0.4371567976,0.8194254446,0.5898384486,4.47E-06,0.7769065521,0.4175328668,0.7397729707,1,0,1,0,0
Circles,0.1929230508,0.6990424077,0.760739095,0.002629310345,0.9067400644,0.4176734108,0.5545084601,0,0,1,0,0
Anti-Hero,0.1306082677,0.6196990424,0.6411086425,1.94E-06,0.8241944146,0.2827862852,0.5330905976,0,1,0,0,0
SNAP,0.1074914933,0.5212038304,0.6340715571,1.07E-05,0.7805048335,0.7102860656,0.5245234526,0,1,0,0,0
Ho Hey,0.7979794934,0.6853625171,0.4631709107,2.22E-06,0.7569817401,0.1828126373,0.3403298351,0,1,0,0,0
Sweater Weather,0.04969955731,0.585499316,0.8059775014,0.01907327586,0.9251879699,0.4411618306,0.3885200257,0,1,1,0,0
Cold Heart - PNAU Remix,0.03412086153,0.8372093023,0.7969298202,4.52E-05,0.8311493018,0.3941908471,0.9710858856,0,0,1,0,1
Careless Whisper,0.1306082677,0.5335157319,0.6260291737,0,0.7639366273,0.6113723538,0.8222317413,0,0,1,0,0
Sunflower - Spider-Man: Into the Spider-Verse,0.5587711324,0.7879616963,0.4762397837,0,0.8509667025,0.2412262466,0.940029985,1,0,0,0,0
Forget Me,0.0003673556973,0.6429548564,0.87433776,0.009267241379,0.8705424275,0.30016104,0.5213107732,0,1,1,0,0
Eyes Closed,0.303481537,0.8112175103,0.5234887859,0,0.8335929108,0.3417152227,0.3788819876,0,1,0,0,0
Lavender Haze,0.2592581425,0.7510259918,0.4330119731,0.0006174568966,0.7189849624,0.2826515972,0.06682373099,0,0,1,0,0
Living In A Haze,0.2743342997,0.6894664843,0.7165059865,3.62E-06,0.8397959184,0.47517934,0.4195759263,0,1,0,0,1
Boy's a Liar Pt. 2,0.2532276796,0.7004103967,0.8079880973,0.0001379310345,0.7790010741,0.4933329429,0.88005997,1,0,1,0,0
Wait a Minute!,0.03723660069,0.7934336525,0.7034371136,2.09E-05,0.8588882922,0.306181009,0.6819447419,1,0,1,0,0
Kiss Me More (feat. SZA),0.2602632197,0.7934336525,0.7034371136,9.61E-05,0.9076530612,0.3645477703,0.7986720925,0,0,1,0,0
ily (i love you baby) (feat. Emilee),0.06889653083,0.6703146375,0.7728026701,0.002025862069,0.7974489796,0.3708722513,0.3156992932,0,0,1,1,0
Fly Me to the Moon,0.4552481862,0.6621067031,0.2560795392,0,0.61783029,0.4140075542,0.356393232,0,0,0,1,0
Calm Down (with Selena Gomez),0.3838877088,0.8440492476,0.8049722035,0.0007209051724,0.8608485499,0.3412935906,0.8211608481,0,0,1,1,0
Until I Found You (with Em Beihold) - Em Beihold Version,0.7808931819,0.5020519836,0.547615936,0,0.8572771214,0.3072760812,0.3285500107,0,0,1,0,0
Here With Me,0.5467102066,0.5294117647,0.4551285273,9.99E-05,0.7513694952,0.4878458701,0.2825016063,0,0,1,1,0
Another Love,0.6984768558,0.3570451436,0.534547063,1.78E-05,0.7715359828,0.4336427254,0.1025915614,0,1,1,0,0
Glimpse of Us,0.8954719767,0.3502051984,0.3133815206,5.15E-06,0.7520408163,0.7097238896,0.2493039195,0,1,1,0,0
How to Save a Life,0.2703139911,0.6238030096,0.7416384346,0,0.891084855,0.4293444207,0.3488969801,0,1,0,0,0
Daylight,0.8341622707,0.4432284542,0.4269801856,0.0004752155172,0.7462137487,0.4765145082,0.3092739345,0,1,0,0,0
Until I Found You,0.7808931819,0.5020519836,0.547615936,0,0.8572771214,0.3072760812,0.3285500107,0,0,1,0,0
The Scientist,0.7346596331,0.5102599179,0.4390437606,1.57E-05,0.8066595059,0.5713055954,0.1904047976,0,0,1,0,0
Romantic Homicide,0.4552481862,0.5294117647,0.5415841485,0.008674568966,0.7156552095,0.4880039821,0.193617477,0,1,1,0,0
Toxic,0.02497465949,0.8071135431,0.837141737,0.02693965517,0.8955424275,0.5523497204,0.9518098094,0,1,0,0,0
Drops of Jupiter (Tell Me),0.153725042,0.4062927497,0.6360821529,0,0.8432330827,0.1777062044,0.4945384451,1,0,1,0,0
Pumped Up Kicks,0.1456844249,0.7510259918,0.7084636032,0.1239224138,0.8435821697,0.4641290663,0.9957164275,1,0,0,0,1
Nevermind,0.1597555049,0.5690834473,0.6863470489,1.39E-05,0.7767185822,0.300172752,0.04722638681,0,0,0,1,0
Die For You - Remix,0.2331261367,0.4746922025,0.522483488,0,0.8261009667,0.106473809,0.4998929107,0,0,1,0,0
See You Again (feat. Kali Uchis),0.3728318601,0.511627907,0.5566636173,8.07E-06,0.7530075188,0.174743068,0.6262582994,1,0,0,0,0
I Won't Give Up,0.6974717787,0.4090287278,0.2993073497,0,0.7305585392,0.4959330073,0.1111587064,0,0,1,0,0
You And Me,0.1145270333,0.3761969904,0.4239642918,0,0.7929645542,0.5339735894,0.3414007282,0,0,1,0,0
Let It Go,0.8221013449,0.4952120383,0.3073497331,1.78E-05,0.7214822771,0.5782566685,0.2257442707,0,0,1,1,0
Wake Me up When September Ends,0.02306501291,0.4952120383,0.8130145869,0,0.8624597207,0.3294703247,0.1186549582,0,1,0,0,1
Sunday Morning,0.09171178207,0.5800273598,0.7667708826,0,0.8602846402,0.2303809329,0.8286571,1,0,1,0,0
Haven't Met You Yet,0.1527199649,0.5896032832,0.7315854553,0,0.8715359828,0.4325359412,0.8147354894,1,0,0,0,0
This Love,0.05271478876,0.7222982216,0.861268887,0,0.8767991407,0.2713260914,0.8286571,1,0,0,0,0
Dreams - 2004 Remaster,0.06467520681,0.8809849521,0.4893086566,0.004612068966,0.738990333,0.4183117149,0.8072392375,1,0,0,0,0
Iris,0.001204584961,0.1792065663,0.7134900928,8.59E-06,0.7838882922,0.6278042924,0.4945384451,0,1,0,0,1
Say You Won't Let Go,0.6984768558,0.2380300958,0.5546530214,0,0.8019871106,0.212719234,0.4913257657,0,0,1,0,0
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",0.774862719,0.1792065663,0.2922702643,0,0.6445220193,0.7307762129,0.4281430713,0,0,1,0,0
Better Together,0.8311470393,0.5034199726,0.220894112,0,0.6918098818,0.5228471877,0.6798029557,0,0,1,0,0
Take Me Home,0.7617967161,0.3803009576,0.3917947584,0,0.7488721805,0.1964161274,0.631612765,1,0,0,0,0
Fast Car,0.1868925879,0.7222982216,0.6008967257,0,0.8524167562,0.2885603022,0.6798029557,0,0,0,1,0
Photograph,0.6100300669,0.5882352941,0.3757099917,0.0005,0.719226638,0.3470910315,0.1775540801,0,1,1,0,0
Perfect,0.1637758135,0.5677154583,0.4450755481,0,0.8311493018,0.2713202354,0.142214607,0,0,1,0,0
Thinking out Loud,0.4763548063,0.8166894665,0.4420596544,0,0.8378893663,0.1773197084,0.5952023988,0,0,1,0,0
I'm Yours,0.5617863638,0.7099863201,0.4410543565,0,0.7500805585,0.5987292478,0.7247804669,0,0,1,0,0
Summertime,0.04789041845,0.5225718194,0.6451298342,0,0.8176423201,0.3703452113,0.1979010495,0,0,1,0,1
Just the Way You Are,0.0134162723,0.6169630643,0.8401576307,0,0.8562030075,0.3531344245,0.4163632469,0,0,1,0,0
Marry You,0.3336338514,0.5978112175,0.8190463744,0,0.8700053706,0.5632711621,0.4463482544,0,0,1,0,1
Rude,0.04236249414,0.805745554,0.7567179034,0,0.8665682062,0.5581647293,0.9528807025,0,0,1,0,0
Unwritten,0.005817889067,0.7140902873,0.798940416,0,0.8305853921,0.3003718561,0.6358963375,1,0,0,0,0
STAY (with Justin Bieber),0.03844269327,0.5567715458,0.7627496909,0,0.8533834586,0.7098058736,0.4741914757,0,0,1,0,1
Welcome To The Real World,0.2250855195,0.7099863201,0.7838609472,0,0.8688506982,0.5924281908,0.8222317413,0,1,0,0,1
Get Lucky (feat. Pharrell Williams and Nile Rodgers),0.03794015469,0.8563611491,0.7919033306,1.91E-06,0.7481203008,0.3942962551,0.8864853288,1,0,0,0,0
Hear Me Now,0.5487203609,0.8125854993,0.4601550169,0.003114224138,0.7964822771,0.4291336047,0.4934675519,0,0,1,1,0
Following The Sun,0.3999689431,0.7523939808,0.8270887578,0.02424568966,0.8816058002,0.4585541534,0.7301349325,1,0,0,0,0
Love Don't Cost A Thing,0.003013723826,0.8235294118,0.8411629286,3.81E-06,0.863292159,0.2861183498,0.6958663525,0,0,1,0,1
Catch & Release - Deepend Remix,0.5577660552,0.8946648427,0.5335417651,0.0004051724138,0.7685016112,0.3295171727,0.07689012637,0,0,0,1,0
As Long as You Love Me,0.1647808907,0.8084815321,0.8150251827,0,0.8520408163,0.2898779024,0.768687085,0,0,1,0,1
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),0.6753600815,0.8125854993,0.5637007027,0.0002122844828,0.8137755102,0.4055456329,0.4752623688,0,0,1,0,1
Riptide,0.433136489,0.4103967168,0.7295748595,0,0.8208915145,0.3099932656,0.5084600557,0,0,1,0,1
Peaches (feat. Daniel Caesar & Giveon),0.3225780028,0.6744186047,0.6943894323,0,0.8346670247,0.2419231107,0.4591989719,0,0,1,0,0
Runaway,0.2200601338,0.2599179207,0.5657112985,0.002359913793,0.8979323308,0.2109038737,0.08117369886,0,0,0,1,0
I Feel It Coming,0.4301212575,0.805745554,0.8180410765,0,0.8409774436,0.2592393055,0.5887770401,1,0,1,0,0
Know Ya,0.1818672022,0.5417236662,0.6149708966,0,0.8078410311,0.1825666852,0.5245234526,1,0,1,0,0
Where Are You Now,0.5175629693,0.6662106703,0.6340715571,0.000442887931,0.7826799141,0.4230843557,0.2428785607,0,0,1,0,0
The One,0.0007643611705,0.6935704514,0.7939139264,1.10E-06,0.8926691729,0.4992416479,0.9004069394,1,0,0,1,0
Are You With Me,0.276344454,0.7920656635,0.6079338112,2.92E-05,0.7832975295,0.4234649958,0.382094667,0,0,0,1,0
Cool Kids,0.0373371084,0.731874145,0.6692569843,8.85E-06,0.8320354458,0.4761455802,0.8040265581,1,0,0,0,1
Budapest,0.08497776518,0.7291381669,0.4521126336,0,0.7776852846,0.4631745381,0.3788819876,0,0,1,0,0
Sleep On It,0.5447000523,0.2954856361,0.5194675942,0,0.8028464017,0.4175562908,0.871492825,1,0,0,0,1
Bubbly,0.6060097583,0.7017783858,0.4712132941,0,0.8217239527,0.4637132902,0.2289569501,1,0,0,0,0
A Sky Full of Stars,0.006149564525,0.4938440492,0.673278176,0.002122844828,0.8267991407,0.4465317834,0.1357892482,0,0,1,0,0
Yellow,0.002350372909,0.3351573187,0.6592040051,0.000130387931,0.8065789474,0.7299739408,0.2675091026,0,0,1,0,0
I Should've Known,0.3698166287,0.4062927497,0.5325364672,0,0.8993555317,0.7079202413,0.1711287214,0,1,0,0,0
Cruel Summer,0.1175422648,0.5034199726,0.7004212198,2.22E-05,0.8473952739,0.7101923696,0.5662882844,1,0,1,0,0
Beautiful People,0.1245778048,0.6238030096,0.6451298342,0,0.7827604726,0.2591924575,0.5470122082,1,0,0,0,0
